1000,-3.654300188251873,2.57,2.57,2.57,-11.364300188251873
2000,-2.0736700530679437,3.87,3.87,3.87,-13.683670053067944
3000,9.419604200523962,4.92,4.92,4.92,-5.340395799476037
4000,10.87370626943986,5.61,5.61,5.61,-5.956293730560139
5000,14.09254290270649,7.39,7.39,7.39,-8.07745709729351
6000,31.09243239105342,16.29,16.29,16.29,-17.777567608946576
7000,54.096996989751524,28.75,28.75,28.75,-32.15300301024847
8000,30.45558711513931,18.11,18.11,18.11,-23.874412884860693
9000,25.978214453627487,15.74,15.74,15.74,-21.241785546372515
10000,27.607722447617967,16.07,16.07,16.07,-20.602277552382034
11000,22.813488004894936,13.71,13.71,13.71,-18.316511995105067
12000,18.231000400403406,11.72,11.72,11.72,-16.928999599596594
13000,20.653424365530235,13.17,13.17,13.17,-18.85657563446977
14000,16.97109605228596,11.17,11.17,11.17,-16.53890394771404
15000,15.075568801131432,9.86,9.86,9.86,-14.504431198868568
16000,14.016706120076583,9.41,9.41,9.41,-14.213293879923418
17000,17.99032012264202,10.96,10.96,10.96,-14.88967987735798
18000,16.36389988965063,10.14,10.14,10.14,-14.056100110349371
19000,12.47601068414699,8.22,8.22,8.22,-12.18398931585301
20000,16.178200424430067,9.93,9.93,9.93,-13.611799575569934
21000,18.54464673382471,11.14,11.14,11.14,-14.875353266175287
22000,15.880730187613969,10.25,10.25,10.25,-14.869269812386028
23000,13.940142968979135,9.04,9.04,9.04,-13.179857031020862
24000,13.05362385550266,8.78,8.78,8.78,-13.28637614449734
25000,9.71509635270832,6.64,6.64,6.64,-10.20490364729168
26000,8.752324524600088,6.58,6.58,6.58,-10.98767547539991
27000,7.38712232191438,5.97,5.97,5.97,-10.52287767808562
28000,9.72865089139067,6.91,6.91,6.91,-11.001349108609329
29000,10.135044729455657,6.99,6.99,6.99,-10.834955270544341
30000,10.261072654885307,7.1,7.1,7.1,-11.038927345114693
31000,9.475794895319844,7.09,7.09,7.09,-11.794205104680158
32000,8.980659581621312,7.06,7.06,7.06,-12.199340418378688
33000,8.136155483227517,6.32,6.32,6.32,-10.823844516772482
34000,10.653156964536294,7.54,7.54,7.54,-11.966843035463706
35000,12.78208858960501,8.65,8.65,8.65,-13.167911410394991
36000,12.06728126003097,8.34,8.34,8.34,-12.952718739969031
37000,12.448726585161713,8.33,8.33,8.33,-12.541273414838285
38000,12.587076228015667,8.4,8.4,8.4,-12.612923771984335
39000,12.738366012131854,8.56,8.56,8.56,-12.941633987868146
40000,16.096398308384806,10.01,10.01,10.01,-13.933601691615193
41000,13.874383592459395,8.86,8.86,8.86,-12.705616407540601
42000,13.278271668690156,8.71,8.71,8.71,-12.851728331309843
43000,11.491568623346895,7.66,7.66,7.66,-11.488431376653105
44000,14.628890739117645,9.3,9.3,9.3,-13.271109260882355
45000,15.401334093046739,9.66,9.66,9.66,-13.57866590695326
46000,17.387374133939005,10.82,10.82,10.82,-15.072625866060994
47000,14.638237930250073,9.36,9.36,9.36,-13.441762069749927
48000,13.024794081735822,8.57,8.57,8.57,-12.685205918264181
49000,17.946877639846456,10.98,10.98,10.98,-14.993122360153546
50000,18.34600961402055,11.11,11.11,11.11,-14.983990385979453
51000,14.262537909124932,9.28,9.28,9.28,-13.577462090875068
52000,15.227161057511681,9.83,9.83,9.83,-14.262838942488319
53000,16.371910754285842,10.28,10.28,10.28,-14.468089245714157
54000,19.005562073420208,11.57,11.57,11.57,-15.704437926579791
55000,17.30228928249726,10.74,10.74,10.74,-14.917710717502741
56000,17.223366205568592,10.83,10.83,10.83,-15.266633794431405
57000,17.508068837502158,11.15,11.15,11.15,-15.941931162497843
58000,14.711339432664715,9.82,9.82,9.82,-14.748660567335286
59000,15.823913381265276,10.38,10.38,10.38,-15.316086618734724
60000,13.34500805862412,9.19,9.19,9.19,-14.224991941375883
61000,14.440242307640432,9.71,9.71,9.71,-14.689757692359567
62000,13.600923375142738,9.1,9.1,9.1,-13.699076624857263
63000,13.380946836949896,8.82,8.82,8.82,-13.079053163050107
64000,12.52828295131266,8.5,8.5,8.5,-12.97171704868734
65000,13.215462629291684,8.8,8.8,8.8,-13.184537370708316
66000,13.843263675543128,8.92,8.92,8.92,-12.916736324456874
67000,12.856085647174844,8.53,8.53,8.53,-12.733914352825156
68000,11.604230363529556,7.84,7.84,7.84,-11.915769636470442
69000,13.75843971244174,8.56,8.56,8.56,-11.92156028755826
70000,12.154141251075245,7.93,7.93,7.93,-11.635858748924754
71000,12.414378740696753,8.06,8.06,8.06,-11.765621259303247
72000,13.942878341480656,8.68,8.68,8.68,-12.097121658519345
73000,14.092695821507506,8.75,8.75,8.75,-12.157304178492494
74000,14.082436780233893,8.98,8.98,8.98,-12.857563219766106
75000,12.687098176185792,8.13,8.13,8.13,-11.702901823814209
76000,16.230131062393816,9.94,9.94,9.94,-13.589868937606186
77000,14.1190981239016,8.82,8.82,8.82,-12.3409018760984
78000,14.30217230474892,9.07,9.07,9.07,-12.90782769525108
79000,14.766664083043903,9.1,9.1,9.1,-12.533335916956098
80000,13.615647591849315,8.68,8.68,8.68,-12.424352408150684
81000,13.930184676903009,8.81,8.81,8.81,-12.499815323096993
82000,13.102084127991766,8.43,8.43,8.43,-12.187915872008235
83000,12.7492178571968,8.23,8.23,8.23,-11.940782142803203
84000,15.451477915111168,9.66,9.66,9.66,-13.528522084888833
85000,16.3653256792513,9.98,9.98,9.98,-13.574674320748702
86000,14.729296848741214,9.11,9.11,9.11,-12.600703151258786
87000,16.185754567243897,9.95,9.95,9.95,-13.664245432756102
88000,16.390435887358713,9.95,9.95,9.95,-13.459564112641289
89000,16.9634277870416,10.41,10.41,10.41,-14.2665722129584
90000,16.96639931446174,10.57,10.57,10.57,-14.743600685538262
91000,16.176373057628332,10.34,10.34,10.34,-14.84362694237167
92000,15.012308273071948,9.65,9.65,9.65,-13.937691726928051
93000,15.44381579781678,10.01,10.01,10.01,-14.58618420218322
94000,13.272708920443641,8.86,8.86,8.86,-13.307291079556359
95000,15.852205563020117,9.86,9.86,9.86,-13.727794436979883
96000,17.772626264161648,10.81,10.81,10.81,-14.65737373583835
97000,14.227705479379054,9.25,9.25,9.25,-13.522294520620944
