[],,random,0.48
[0],,random,0.75
[1],,random,5.37
[2],,random,12.6
"[0, 1]",,random,7.08
"[0, 2]",,random,15.33
"[1, 2]",,random,22.41
"[0, 1, 2]",,random,23.82
