1000,23.779714303502427,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,-8.160316094893675,-8.3040969415042,-8.535872660099697
1000,-54.52915240490553,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,-51.968362911837744,-33.65976307349107,-47.02102641957671
2000,89.99659417476825,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,-21.514813216853586,-12.901657946080247,-7.616934662297911
3000,113.61851163378053,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,-4.912960568893819,-5.391078719266147,-5.137449078059522
4000,104.5244860183474,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,-5.204251605008887,-5.201331140194459,-4.949931236449247
5000,104.54645310180314,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,-5.872261464952149,-5.052982200778535,-5.128303232466176
6000,101.28391827951341,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,-6.305585984691302,-5.120815977182983,-5.459679758612309
7000,100.01164300909379,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,-6.880137780445937,-5.350672018803716,-6.557547191656553
8000,106.03440841640206,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,-6.729327346438796,-5.677602189410542,-7.018662047748606
9000,102.8823247245643,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,-6.559129074513594,-6.5358772677133885,-7.142668933208713
10000,103.59389439356184,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,-7.501022465598912,-7.114244565542995,-6.710838575296243
11000,96.29133398403374,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,-6.995487667589247,-6.815470015619821,-8.877708332757189
12000,104.56935818382428,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,-7.5838407176620715,-8.676771311818115,-8.770029786695531
13000,98.3594956045419,13.74,13.74,13.74,13.74,13.74,13.74,13.74,13.74,13.74,-7.957406463465542,-8.013482753651292,-9.329615178341257
14000,102.33328159762134,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,-6.7827604473870995,-7.4962359448416125,-9.387722010149963
15000,95.6323173359207,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,-8.601418193138443,-8.526109791557468,-9.730154679383402
16000,90.98186339597306,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,-9.315142465776061,-10.656115225335352,-9.916878912915527
17000,87.56399194530962,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,-9.289872384164463,-9.892757036751373,-11.42337863377454
18000,94.10598356093934,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,-9.656071600127158,-11.248088670623174,-12.159856168310332
19000,98.40387117884505,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,-9.61628858580106,-11.60849523962324,-11.231344995730659
20000,99.0276478974089,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,-9.047368203864878,-11.954313446874522,-12.990670451851692
21000,76.21596987377475,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,-9.457372308843045,-11.65188802332342,-12.744769794058792
22000,63.16895010049811,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,-12.720105309074818,-13.262406015318977,-16.328538575108098
23000,65.54608350259235,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,-13.199060300350494,-16.114258074745376,-15.930598122311777
24000,58.7995519564465,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,-15.637663731158385,-16.324575337591085,-16.338208974804022
25000,57.93417326094001,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,-15.230752693393134,-15.957258603297761,-16.3578154423691
26000,50.78026789585725,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,-16.30435251825001,-18.287690922394297,-18.127688663498446
27000,50.58193321072026,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,-14.087346740835391,-17.676233427902268,-18.364486620542078
28000,53.71406978663186,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,-17.09645837048903,-19.298606393518718,-17.710865449360398
29000,60.53149531019177,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,-16.119429012389862,-18.614776699443418,-20.29429897797495
30000,53.38938729044898,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,-16.242335665866054,-18.8424182147865,-18.26585882889846
31000,49.00456109860414,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,-18.00403317266185,-19.748203252443034,-19.893202476290977
32000,49.15164099271335,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,-18.031456124468683,-18.376112093442647,-19.92079078937532
33000,49.34471115551994,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,-19.065057185091113,-19.46915794359007,-19.58107371579888
34000,38.16606141855713,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,-20.37193994037505,-19.197467919064024,-19.2845307220038
35000,41.70056635456353,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,-19.243394832886196,-20.127741579055307,-18.64829723349498
36000,44.176577040110324,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,-18.94554153160759,-18.625329595501583,-19.682551832780504
37000,38.38114323690165,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,-19.17127531064502,-18.313748691201937,-18.6338327612514
38000,57.509762960113235,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,-19.950528675816344,-18.462937701346288,-20.266770662724134
39000,42.84174612705165,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,-19.07050039940196,-18.484042768604258,-19.41371070494213
40000,47.34761642016054,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,-18.976000025072032,-19.866806588897365,-20.00957696587006
41000,43.85243008725585,11.22,11.22,11.22,11.22,11.22,11.22,11.22,11.22,11.22,-18.97494355146828,-18.634768364090306,-19.51785799718558
42000,41.486831925263616,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,-19.15744310106166,-19.767013827765073,-19.84871114590965
43000,43.57524019606349,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,-17.65961447648667,-20.251237472767357,-19.403907854682483
44000,44.720286375323624,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,-18.44455131801944,-19.130720833310587,-20.124441473346355
45000,54.512314916101154,12.14,12.14,12.14,12.14,12.14,12.14,12.14,12.14,12.14,-18.85374992122412,-18.34894784931738,-17.544987313357343
46000,46.79859530944047,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,-19.03907694377641,-17.682715312268424,-19.079612434514697
47000,42.45022062080426,11.12,11.12,11.12,11.12,11.12,11.12,11.12,11.12,11.12,-19.45763278755173,-19.588842475712752,-18.58330411593125
48000,42.862191351309654,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,-17.662894339776095,-20.503923471327674,-19.500990837586578
49000,52.61063236741961,12.14,12.14,12.14,12.14,12.14,12.14,12.14,12.14,12.14,-18.17401633427463,-18.530332518367906,-19.945018779937847
50000,43.322578524904046,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,-19.086220182980114,-18.11713848961226,-19.644062802503573
51000,42.69154980967716,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,-19.357774045131393,-19.08407867600708,-19.936597469184367
52000,48.94979149033503,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,-18.743869368019492,-18.733099145552043,-20.493239996093436
53000,43.598246988116806,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,-19.45963469401976,-19.46894350128901,-19.44317481657442
54000,45.53974137409465,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,-19.028930794145655,-18.89912565351965,-18.682202178240047
55000,48.03183313848084,11.82,11.82,11.82,11.82,11.82,11.82,11.82,11.82,11.82,-19.392426644466273,-19.05882209927195,-19.896918117780924
56000,46.911367707107054,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,-17.220810036471885,-19.107690432299837,-17.830131824121228
57000,45.646899438826715,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,-18.29086917718749,-19.237388406232686,-20.684842977753117
58000,55.53140242249468,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,12.53,-19.360242711012123,-18.58142830580894,-19.29692656068425
59000,45.07602644491656,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,-19.002085187026104,-18.483189417107102,-18.958698950950236
60000,43.45628240723424,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,-18.756654111948688,-20.03749707471273,-18.189566406104344
61000,41.29593545433427,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,-18.813820354183967,-19.665583348619297,-18.32466084286246
62000,47.46431573987419,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,-19.668595038419316,-17.523616411934924,-18.84347280977157
63000,38.86563791952125,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,-18.715311238691175,-19.024879969688975,-19.604170872098592
64000,36.35152475664099,10.73,10.73,10.73,10.73,10.73,10.73,10.73,10.73,10.73,-19.445066684897043,-19.878163690484705,-20.89524486797726
65000,39.63032932040139,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,-18.350537299386183,-19.94840268163383,-18.100730698578605
66000,44.69985435046913,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,-20.289592478742744,-18.672449655604876,-18.848103515183247
67000,43.194569971802835,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,-20.228159306565313,-19.04170912543504,-18.96556159619681
68000,42.47121938529193,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,-20.453094622921867,-18.29377593503931,-20.21191005674689
69000,38.83026943108996,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,-19.917539132283824,-19.24894356555712,-19.473247871069088
70000,45.653975307086455,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,-19.337799830593514,-18.939417793438615,-19.92880706888142
71000,39.072701831759645,10.79,10.79,10.79,10.79,10.79,10.79,10.79,10.79,10.79,-18.785152301973216,-20.39977328794912,-18.85237257831802
72000,39.47306233890315,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,-21.18797108552628,-18.17400139859915,-19.624965176971426
73000,44.032135382420265,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,-18.747822665547986,-18.21044605877901,-19.809595893252734
74000,32.509339899280675,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,-21.519882220009357,-20.831715250901944,-19.81906262980802
75000,46.581618849271486,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,-19.465236797032205,-18.48677208343668,-16.356372270259627
