1000,29.673038987133296,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,-9.565303395634608,-8.011497628641484,-10.170159988590612
2000,45.80097909143324,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,-7.044458403437715,-6.27351558259513,-7.571046922533918
3000,64.16567797095567,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,-3.1555062779174023,-4.158123053689427,-4.570692697437492
4000,69.50131895335163,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,-3.0432502914376576,-3.494976701361472,-3.430454053849242
5000,63.44184355334157,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,-2.7100375958801313,-3.371259055301266,-2.836859795477036
6000,67.00527773783115,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,-2.72468336149359,-4.273131516435538,-3.306907384239725
7000,66.33183173714542,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,-3.257143009315984,-4.1257539202786875,-2.9652713332599143
8000,66.70398209861983,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,-2.9894315433847516,-4.614409930621798,-3.4521764273736126
9000,70.4655489658216,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,-3.290408261026854,-4.53924283420997,-3.5147999389415734
10000,64.31756053723034,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,-3.0828719661138484,-4.534894269613309,-3.1246732270425155
11000,62.78724015996803,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,-3.479987511613971,-4.083156792854207,-3.3596155355637967
12000,58.83790002638644,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,-3.239048823794778,-4.057550225241351,-3.43550092457743
13000,56.760218116438004,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,-3.280691677168286,-3.9178720926918613,-3.181218113701847
14000,67.58094942849226,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,-3.6204014705417458,-3.9238760000425437,-3.984773100923445
15000,58.65797528938418,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,-3.4079775872088804,-3.973339606029639,-3.6207075173773022
16000,68.57458797017665,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,-3.918066543786578,-4.229253514227342,-4.188091971809415
17000,57.45707264282256,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,-3.188743500829472,-3.70344712497515,-4.230736731372816
18000,65.06132386706254,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,-4.083323385439615,-4.134945612823935,-4.390407134673903
19000,56.21992158158112,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,-3.5548302145833675,-3.3183001766957005,-4.856948027139808
20000,57.312863213809266,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,-3.8418265471630213,-3.278027055244555,-4.687283183783158
21000,55.27909863488112,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,-3.379656682360469,-3.811357682273632,-4.129887000484779
22000,62.38871133231569,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,-3.802113917726057,-3.245959144957575,-5.263215605000683
23000,55.72522593143995,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,-4.109464676612648,-3.2867749212262205,-5.188534470721186
